ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,name,addl,notice,peer,source
1762167165.072474,ClW6ajlFe9xCjle9e,192.168.7.101,64693,2.19.205.40,443,window_recision,-,F,zeek,-
1762167165.072940,Cho2x5SfD7Qqp7VKd,192.168.7.101,53788,2.19.205.40,443,window_recision,-,F,zeek,-
1762167165.182034,CnDQ4T3PTVtfoSSRbb,192.168.7.101,60903,184.51.252.9,443,window_recision,-,F,zeek,-
1762167319.218106,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762167491.984513,CsEwgp4TsZOOTDw8kl,192.168.7.205,58580,52.20.222.128,443,window_recision,-,F,zeek,-
1762167492.099350,C1nKJf2uwnCNaMOOZ1,192.168.7.205,44790,34.236.82.201,443,window_recision,-,F,zeek,-
1762167910.047146,CsWRrE1D9x2lLP6ASj,192.168.7.101,50909,184.51.252.40,443,window_recision,-,F,zeek,-
1762167910.222624,CVejmk2Tb2Q9Ez4kp7,192.168.7.101,52448,20.189.173.26,443,truncated_tcp_payload,-,F,zeek,TCP
1762167911.902015,CBfhyH2vmVw12bzwib,192.168.7.101,55045,2.16.103.91,443,window_recision,-,F,zeek,-
1762167912.110886,Cegh6x1odlalGNe7Mh,192.168.7.101,54538,184.51.252.12,443,window_recision,-,F,zeek,-
1762167939.251067,CoeP9h4Bzcy8Q2XEy5,192.168.7.101,63897,31.31.198.167,443,truncated_tcp_payload,-,F,zeek,TCP
1762167939.848096,Ck6qCC1MkRQ2ftKCWh,192.168.7.101,64993,95.47.236.28,443,truncated_tcp_payload,-,F,zeek,TCP
1762167939.967911,CnqIFw2iKH3BPiXtbf,192.168.7.101,59989,178.248.237.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762167979.210301,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762168070.619897,CiFoLFim9hA5i81ok,192.168.7.101,50897,178.248.233.6,443,truncated_tcp_payload,-,F,zeek,TCP
1762168105.606111,Ct9reWTfpgJTmJmBd,192.168.7.101,64339,141.8.192.126,443,truncated_tcp_payload,-,F,zeek,TCP
1762168451.639755,CFV2Cb3ro1gCiLGlc2,192.168.7.101,51498,20.42.73.27,443,truncated_tcp_payload,-,F,zeek,TCP
1762168459.282254,C6B5nS2YFAaeIrhlsf,192.168.7.101,58340,2.23.167.96,443,window_recision,-,F,zeek,-
1762168459.283670,Coie874NKAm4VJT9qe,192.168.7.101,59079,2.23.167.96,443,window_recision,-,F,zeek,-
1762168459.340659,CDNdSx2ZTus2clWEk8,192.168.7.101,62266,95.101.142.194,443,window_recision,-,F,zeek,-
1762168637.286864,CUC2vX1bYpflX8VxRa,192.168.7.101,50822,3.164.68.28,443,truncated_tcp_payload,-,F,zeek,TCP
