ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status
1762174956.486411,CgB5XY3YWfYrqDq4ia,192.168.7.101,58484,142.250.186.129,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,yt3.ggpht.com,T,-,-,F,Csi,-,-,-,-
1762174964.616587,CpE2Dg29E9VTuZREn9,192.168.7.101,53506,20.189.173.10,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,F,-,-,T,CsxuknGIi,"be61de9072ac2e7c9694eba55f386736a66f531452ea41e2575c1c7b29d916bf,511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea",(empty),T,ok
1762174966.738402,Cb1yFa1prM1TeSwa4i,192.168.7.101,59036,108.177.14.94,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,fonts.gstatic.com,T,-,-,T,CsiI,-,-,-,-
1762174966.811118,Ca5xTjLDErxiE2R7i,192.168.7.101,52212,108.177.14.95,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,fonts.googleapis.com,T,-,-,T,CsiI,-,-,-,-
1762174967.423363,CDV1GI3mS1dNTiHIo2,192.168.7.101,53288,194.124.204.71,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,w.deepl.com,F,-,-,T,CsiI,-,-,-,-
1762174967.917455,ChZ9ik35iumP19mgQ4,192.168.7.101,63352,4.209.164.61,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,nav-edge.smartscreen.microsoft.com,F,-,-,T,CsiI,-,-,-,-
1762174969.089175,CNYEA8lwcHSv8Fht6,192.168.7.101,51118,184.51.252.41,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,T,-,-,T,CsiI,-,-,-,-
1762174969.114439,Ck0emj1bP1poWKe4wb,192.168.7.101,57778,184.51.252.41,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,T,-,-,T,CsiI,-,-,-,-
1762174968.632848,CVy4AS3Ois0NVOFXv4,192.168.7.101,55703,150.171.27.11,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"e43edc79c7e04bfcfd8d0f3dfcacd3063ac61391e270d8c407b65f391be0006f,724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03",(empty),T,ok
1762174967.817963,CjO7XF1OhrF9mT5QK1,192.168.7.101,56574,185.104.210.59,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,sfunpay.com,F,-,-,F,Csi,-,-,-,-
1762174967.817732,Cn9ROc4ARUuHdlAXTd,192.168.7.101,58550,185.104.210.59,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,sfunpay.com,F,-,-,F,Csi,-,-,-,-
1762174967.816361,CRQl2g3XkwYQZMns88,192.168.7.101,61305,185.104.210.59,443,-,-,-,sfunpay.com,F,-,-,F,C,-,-,-,-
1762174967.817164,C6Bmv317UDDvWjjqnj,192.168.7.101,49919,185.104.210.59,443,-,-,-,sfunpay.com,F,-,-,F,C,-,-,-,-
1762174967.817496,CbNGaQ1jd3MD97V9wa,192.168.7.101,53008,185.104.210.59,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,sfunpay.com,F,-,-,F,Csi,-,-,-,-
1762174968.217619,CWdnde3JQcSI2trPUe,192.168.7.101,56702,4.209.164.61,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,nav-edge.smartscreen.microsoft.com,F,-,-,F,Csi,-,-,-,-
1762174968.217300,Cd6JQc3ze3eGjLaTuk,192.168.7.101,64998,4.209.164.61,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,nav-edge.smartscreen.microsoft.com,F,-,-,F,Csi,-,-,-,-
1762174968.218233,CFXXMs4XUpWq0IbZdk,192.168.7.101,62159,4.209.164.61,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,nav-edge.smartscreen.microsoft.com,F,-,-,F,Csi,-,-,-,-
1762174990.771698,CznPRghnHtVyNAbta,192.168.7.101,62098,40.114.177.156,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,duckduckgo.com,F,-,-,T,CsiI,-,-,-,-
1762175003.452578,C3ADc54T2WTL1fpYx7,192.168.7.101,56343,108.177.14.94,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,www.gstatic.com,T,-,-,T,CsiI,-,-,-,-
1762175007.526713,CIP2RX1zYevn76bWXe,192.168.7.101,56344,140.82.121.6,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,api.github.com,F,-,-,T,CsiI,-,-,-,-
1762175009.316377,C4JKDVnkdbHST7e21,192.168.7.101,51888,173.194.190.167,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,rr2---sn-25ge7nsk.googlevideo.com,F,-,-,T,CsiI,-,-,-,-
1762175021.763510,CUT83G2Nkta0jfPoyl,192.168.7.101,51892,95.101.78.9,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,secp256r1,catalog.gamepass.com,F,-,h2,T,CsxuknGIti,"4501e8644d431476ce44a70e702647a2fb4d374c5ff9fa374e38de955bb6563b,be23414a42e74886e7c72a861ba2ddda0175ed829223d894c5d272651fc0c189",(empty),T,ok
1762175027.263965,Ctwdx42x4PoT3PfKUa,192.168.7.101,54070,150.171.27.11,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"e43edc79c7e04bfcfd8d0f3dfcacd3063ac61391e270d8c407b65f391be0006f,724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03",(empty),T,ok
1762174967.816361,CDrGUk4i4by5mi7qR9,192.168.7.101,57542,185.104.210.59,443,-,-,-,sfunpay.com,F,-,-,F,C,-,-,-,-
1762174968.863200,CMwXI52iHvtHqcFuEj,192.168.7.101,51677,185.104.210.59,443,-,-,-,funpay.com,F,-,-,F,C,-,-,-,-
1762174913.196422,CzvWhh2wHufUNIiINe,192.168.7.101,51434,72.145.35.44,443,-,-,-,nleditor.osi.office.net,F,-,-,F,C,-,-,-,-
1762175059.332787,C3sHdVJX6SIQHtOEj,192.168.7.101,51648,64.233.161.95,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,waa-pa.clients6.google.com,T,-,-,T,CsiI,-,-,-,-
1762174966.944579,Co5D4c1GagUSxOZKU5,192.168.7.101,51532,185.104.210.59,443,-,-,-,funpay.com,F,-,-,F,C,-,-,-,-
1762175071.863314,CSmyyp45S4DqYna9pf,192.168.7.101,60582,194.124.204.71,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,w.deepl.com,F,-,-,T,CsiI,-,-,-,-
