ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size
1762173435.555389,F9XOIf4fTjvab2ovye,CdUJUJfvWldfxquM4,192.168.7.101,60304,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762173493.780137,FB3X7c4c99ak1nWGBe,CYsvnk1R0Ho5I6ccVg,192.168.7.101,60283,108.141.15.7,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,ce81f01ea778c8699e0314d62e062c75,55024f957ac687f5e889fcbcb4fd4edac13693cb,-,-,-,-
1762173573.229759,FvsJ5X120uVzl0QFMg,CEBhJa4Yp4fn7Zfggc,192.168.7.101,55160,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,136,136,0,0,F,-,548121323e10c697e6c1c39cf24326c7,dfab2a54cc8437c1ef0ffbea1558fac59527391a,-,-,-,-
1762173573.279284,FtCjCBo0K8ifTRZG4,CEBhJa4Yp4fn7Zfggc,192.168.7.101,55160,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,208,208,0,0,F,-,5e6d3863d68d9de2d2cfe6af89723eab,e03c455406b8b0a27ee8d3a8aec39d4d6e470c06,-,-,-,-
1762173581.798940,FsnNcp11BzHXPFagii,CU5RKg2HMc0puH74F8,192.168.7.205,55216,213.180.204.183,80,HTTP,0,"SHA1,MD5",application/x-debian-package,-,0.038991,F,F,122660,122660,0,0,F,-,e0c95cfc19bb392706b4257e82172b65,d4ad630e619a763aad78e850833ead8b2bad5315,-,-,-,-
1762173614.683134,F9HTL23LY7Iud5dFz3,CHin0p4rjYqQ9xkBSl,192.168.7.101,54483,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762173680.597894,FwYedm2NEbtCCePiY1,CNAMFz3miaHNaOG651,192.168.7.101,61645,150.171.27.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762173790.269031,FdqWgr1l1iSzbhBZYc,Cbvvm03FBtzJhVq2Ec,192.168.7.101,55642,20.190.159.68,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,471,-,0,0,F,-,d3a87af3ce068ed32476477c87f080d9,8931825451f3690fe85764404782132405b1d798,-,-,-,-
1762173816.192179,Fw6VXq35eSPvTtZaYk,CGZQnG3XtGxupqXwuc,192.168.7.101,55647,52.111.229.43,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,284efbb4d5e07f3735d2831f1668f853,a1d2d7b92fecf9d4a968d8d610c31b75ea08c439,-,-,-,-
1762173816.382919,FyJBZr1zBSKW8hHh2e,CTvj9sFkuoSLr1O43,192.168.7.101,55646,52.111.229.43,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,284efbb4d5e07f3735d2831f1668f853,a1d2d7b92fecf9d4a968d8d610c31b75ea08c439,-,-,-,-
1762173821.837471,FHY7Kms1DWHV4DEee,Ckb9UFyiTW3RDOoah,192.168.7.101,55649,95.101.78.9,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1048,-,0,0,F,-,9d88c6c930bc995ed1f65059029c629c,4252ad4bcd5fe2da928f15ed00aaed4479c60972,-,-,-,-
1762173858.509740,FI8YzZ1DwuPn8GgFgg,CcKEsm4E56YsDW6l7f,192.168.7.101,59327,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762173866.291047,FlSMXCZWbWJLlCAii,CWgWSF2hqlP5pwxpii,192.168.7.101,51391,150.171.27.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762173880.897451,Fxo3cV3gBKe3xI6gmj,C56zE52QBAiEYbcP8g,192.168.7.101,58824,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,4288bb046de6e35146b56c26150f7efc,d91ce3017cbe759f059e97264f18193a3bcad3f7,-,-,-,-
1762173887.309621,FwV4zs4k1y5iR74Dqb,CYhj6PBUtoO1sVxB8,192.168.7.101,58826,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,92,92,0,0,F,-,ceef3b0bf8f37b6d64389e62209f6ba9,9c4d4ab5899edfa0c7d274f305368e2c51d9b6f7,-,-,-,-
1762173887.359881,FKTL2U3ZpHKUWWTgJ3,CYhj6PBUtoO1sVxB8,192.168.7.101,58826,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,160,160,0,0,F,-,8dc77b9057ba8ec487be773a87e12a71,a5d48c6d2b7d6421d757d5762226b316d3ace4e2,-,-,-,-
1762174121.766733,Fjqpit2zaxmU9CN7T5,C8xmZy4ANt1xIcJmSf,192.168.7.101,52966,184.51.88.32,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1049,-,0,0,F,-,e8b9262420e4a241ec4cc28e3b430b2e,df39000acd396f26875f582838b6486565a22e3b,-,-,-,-
1762174167.348440,FdAhZe3jAq3pigSV0j,CYdMjzuDscJE2Xl27,192.168.7.101,62767,192.168.7.205,49088,FTP_DATA,0,"SHA1,MD5",text/plain,-,0.000000,T,F,2246,-,0,0,F,-,0f746233d8a5f0e92c2134e92dabe8c9,82033e9e3a01454fef696158da83a44abbedf145,-,-,-,-
1762174179.381004,F0MaMH11zRzaPkZYw8,ClqpnWaUTAnX7iwl8,192.168.7.101,58459,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,100,100,0,0,F,-,5c71976a29da4d5b817465a81b2654d3,e4f7f5c3d0863abadc487950691b74a48a12d968,-,-,-,-
